# <s> 	 error of <s> 	 H 	 count
6.43556	5.5931	0	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.66	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.67	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.68	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.69	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.7	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.71	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.72	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.73	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.74	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.75	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.76	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.77	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.78	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.79	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.8	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.81	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.82	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.83	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.84	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.85	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.86	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.87	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.88	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.89	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.9	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.91	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.92	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.93	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.94	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.95	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.96	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.97	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.98	8008
# <s> 	 error of <s> 	 H 	 count
1.65834	1.05264	1.99	8008
# <s> 	 error of <s> 	 H 	 count
3.47552	2.9881	2	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.01	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.02	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.03	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.04	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.05	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.06	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.07	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.08	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.09	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.1	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.11	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.12	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.13	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.14	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.15	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.16	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.17	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.18	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.19	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.2	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.21	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.22	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.23	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.24	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.25	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.26	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.27	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.28	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.29	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.3	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.31	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.32	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.33	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.34	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.35	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.36	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.37	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.38	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.39	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.4	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.41	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.42	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.43	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.44	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.45	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.46	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.47	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.48	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.49	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.5	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.51	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.52	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.53	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.54	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.55	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.56	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.57	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.58	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.59	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.6	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.61	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.62	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.63	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.64	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.65	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.66	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.67	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.68	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.69	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.7	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.71	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.72	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.73	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.74	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.75	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.76	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.77	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.78	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.79	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.8	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.81	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.82	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.83	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.84	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.85	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.86	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.87	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.88	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.89	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.9	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.91	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.92	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.93	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.94	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.95	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.96	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.97	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.98	8008
# <s> 	 error of <s> 	 H 	 count
1.38761	0.617434	2.99	8008
# <s> 	 error of <s> 	 H 	 count
2.15684	1.34037	3	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.01	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.02	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.03	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.04	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.05	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.06	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.07	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.08	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.09	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.1	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.11	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.12	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.13	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.14	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.15	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.16	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.17	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.18	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.19	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.2	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.21	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.22	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.23	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.24	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.25	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.26	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.27	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.28	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.29	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.3	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.31	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.32	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.33	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.34	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.35	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.36	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.37	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.38	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.39	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.4	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.41	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.42	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.43	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.44	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.45	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.46	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.47	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.48	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.49	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.5	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.51	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.52	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.53	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.54	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.55	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.56	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.57	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.58	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.59	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.6	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.61	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.62	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.63	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.64	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.65	8008
# <s> 	 error of <s> 	 H 	 count
1.04995	0.235472	3.66	8008
# <s> 	 error of <s> 	 H 	 count
